time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-26 00:00:00+00:00,1,1,1,1
2024-06-27 00:00:00+00:00,2,2,0,0
2024-06-30 00:00:00+00:00,7,6,1,1
2024-07-01 00:00:00+00:00,1,1,0,0
2024-07-02 00:00:00+00:00,6,2,0,0
2024-07-03 00:00:00+00:00,0,0,1,1
2024-07-04 00:00:00+00:00,1,1,22,2
2024-07-05 00:00:00+00:00,2,2,0,0
2024-07-06 00:00:00+00:00,1,1,0,0
2024-07-07 00:00:00+00:00,2,2,3,2
2024-07-09 00:00:00+00:00,3,2,1,1
2024-07-11 00:00:00+00:00,2,1,2,1
2024-07-12 00:00:00+00:00,2,1,0,0
2024-07-13 00:00:00+00:00,0,0,1,1
2024-07-14 00:00:00+00:00,6,5,0,0
2024-07-16 00:00:00+00:00,1,1,0,0
2024-07-17 00:00:00+00:00,5,2,0,0
2024-07-18 00:00:00+00:00,2,1,0,0
2024-07-20 00:00:00+00:00,3,2,0,0
2024-07-21 00:00:00+00:00,2,2,0,0
2024-07-22 00:00:00+00:00,2,2,1,1
2024-07-25 00:00:00+00:00,1,1,0,0
2024-07-26 00:00:00+00:00,3,2,0,0
2024-07-27 00:00:00+00:00,2,2,0,0
2024-07-29 00:00:00+00:00,0,0,1,1
2024-07-30 00:00:00+00:00,3,1,1,1
2024-08-02 00:00:00+00:00,2,2,1,1
